Date,PX_OPEN,PX_LAST,PX_LOW,PX_HIGH,PX_BID,PX_ASK,PX_MID,PX_VOLUME,PX_TO_BOOK_RATIO,PE_RATIO,IS_EPS,CASH_RATIO,CUR_RATIO,QUICK_RATIO,AVERAGE_DIVIDEND_YIELD,PROF_MARGIN,OPER_MARGIN
11/10/2019,232.95,236.21,232.3075,237.64,236.21,236.23,236.22,41990210,11.5986,19.9252,3.05,0.9512,1.5401,1.168,1.2701,21.371,24.3988
10/10/2019,227.93,230.09,227.3,230.44,230.08,230.09,230.085,28962984,11.2981,19.409,3.05,0.9512,1.5401,1.168,1.3038,21.371,24.3988
09/10/2019,227.03,227.03,225.64,227.79,226.99,227.03,227.01,19029424,11.1479,19.1508,3.05,0.9512,1.5401,1.168,1.3214,21.371,24.3988
08/10/2019,225.82,224.4,224.33,228.06,224.37,224.38,224.375,29282700,11.0187,18.929,3.05,0.9512,1.5401,1.168,1.3369,21.371,24.3988
07/10/2019,226.27,227.06,225.84,229.93,226.99,227.06,227.025,30889269,11.1493,19.1534,3.05,0.9512,1.5401,1.168,1.3212,21.371,24.3988
04/10/2019,225.64,227.01,223.89,227.49,227.01,227.02,227.015,34755553,11.1469,19.1492,3.05,0.9512,1.5401,1.168,1.3215,21.371,24.3988
03/10/2019,218.43,220.82,215.132,220.96,220.81,220.82,220.815,30352686,10.8429,18.627,3.05,0.9512,1.5401,1.168,1.3586,21.371,24.3988
02/10/2019,223.06,218.96,217.93,223.58,218.95,218.96,218.955,35767257,10.7516,18.4701,3.05,0.9512,1.5401,1.168,1.3701,21.371,24.3988
01/10/2019,225.07,224.59,224.2,228.22,224.57,224.59,224.58,36187163,11.0281,18.945,3.05,0.9512,1.5401,1.168,1.3358,21.371,24.3988
30/09/2019,220.9,223.97,220.79,224.58,223.97,223.98,223.975,26318583,10.9976,18.8927,3.05,0.9512,1.5401,1.168,1.3395,21.371,24.3988
27/09/2019,220.54,218.82,217.2814,220.96,218.84,218.85,218.845,25361285,10.7447,18.4583,3.05,0.9512,1.5401,1.168,1.371,21.371,24.3988
26/09/2019,220,219.89,218.83,220.94,219.91,219.94,219.925,19088312,10.3302,18.724,2.2,1.0547,1.5046,1.2125,1.3461,18.666,21.4537
25/09/2019,218.55,221.03,217.1402,221.5,220.96,220.99,220.975,22481006,10.3837,18.8211,2.2,1.0547,1.5046,1.2125,1.3392,18.666,21.4537
24/09/2019,221.03,217.68,217.19,222.49,217.67,217.68,217.675,31434367,10.2264,18.5358,2.2,1.0547,1.5046,1.2125,1.3598,18.666,21.4537
23/09/2019,218.95,218.72,217.65,219.84,218.66,218.72,218.69,19419648,10.2752,18.6244,2.2,1.0547,1.5046,1.2125,1.3533,18.666,21.4537
20/09/2019,221.38,217.73,217.473,222.56,217.7,217.72,217.71,57977094,10.2287,18.5401,2.2,1.0547,1.5046,1.2125,1.3595,18.666,21.4537
19/09/2019,222.01,220.96,220.37,223.76,220.94,220.95,220.945,22187876,10.3805,18.8151,2.2,1.0547,1.5046,1.2125,1.3396,18.666,21.4537
18/09/2019,221.06,222.77,219.44,222.85,222.76,222.78,222.77,25643093,10.4655,18.9692,2.2,1.0547,1.5046,1.2125,1.3287,18.666,21.4537
17/09/2019,219.96,220.7,219.12,220.82,220.68,220.7,220.69,18386468,10.3682,18.793,2.2,1.0547,1.5046,1.2125,1.3412,18.666,21.4537
